t,s	E,V	I(E),mA
14.80	-1.12713	-6.2241e+01
15.00	-1.12609	-6.1464e+01
15.20	-1.12505	-6.0745e+01
15.40	-1.12401	-6.0046e+01
15.60	-1.12310	-5.9386e+01
15.80	-1.12219	-5.8803e+01
16.00	-1.12115	-5.8123e+01
16.20	-1.12025	-5.7424e+01
16.40	-1.11934	-5.6763e+01
16.60	-1.11843	-5.6103e+01
16.80	-1.11765	-5.5442e+01
17.00	-1.11687	-5.4762e+01
17.20	-1.11583	-5.4082e+01
17.40	-1.11479	-5.3461e+01
17.60	-1.11388	-5.2839e+01
17.80	-1.11284	-5.2198e+01
18.00	-1.11193	-5.1537e+01
18.20	-1.11089	-5.0896e+01
18.40	-1.10985	-5.0255e+01
18.60	-1.10868	-4.9653e+01
18.80	-1.10778	-4.9051e+01
19.00	-1.10687	-4.8526e+01
19.20	-1.10596	-4.7885e+01
19.40	-1.10492	-4.7322e+01
19.60	-1.10388	-4.6700e+01
20.20	-1.10076	-4.3426e+01
20.40	-1.09959	-4.2822e+01
20.60	-1.09855	-4.2257e+01
20.80	-1.09751	-4.1674e+01
21.00	-1.09647	-4.1149e+01
21.20	-1.09569	-4.0548e+01
21.40	-1.09466	-3.9950e+01
21.60	-1.09362	-3.9385e+01
21.80	-1.09245	-3.8837e+01
22.00	-1.09141	-3.8295e+01
22.20	-1.09037	-3.7740e+01
22.40	-1.08946	-3.7172e+01
22.60	-1.08842	-3.6584e+01
22.80	-1.08725	-3.6057e+01
23.00	-1.08634	-3.5500e+01
23.20	-1.08530	-3.4947e+01
23.40	-1.08426	-3.4424e+01
23.60	-1.08322	-3.3865e+01
23.80	-1.08232	-3.3356e+01
24.00	-1.08128	-3.2826e+01
24.20	-1.08024	-3.2323e+01
24.40	-1.07920	-3.1789e+01
24.60	-1.07816	-3.1222e+01
24.80	-1.07738	-3.0693e+01
25.00	-1.07634	-3.0189e+01
25.20	-1.07530	-2.9654e+01
25.40	-1.07426	-2.9137e+01
25.60	-1.07322	-2.8623e+01
25.80	-1.07231	-2.8064e+01
26.00	-1.07140	-2.7535e+01
26.20	-1.07036	-2.7019e+01
26.40	-1.06933	-2.6507e+01
26.60	-1.06829	-2.5980e+01
26.80	-1.06725	-2.5404e+01
27.00	-1.06608	-2.4879e+01
27.20	-1.06517	-2.4375e+01
27.40	-1.06439	-2.3874e+01
27.60	-1.06322	-2.3321e+01
27.80	-1.06218	-2.2771e+01
28.00	-1.06127	-2.2244e+01
28.20	-1.06010	-2.1723e+01
28.40	-1.05919	-2.1244e+01
28.60	-1.05828	-2.0721e+01
28.80	-1.05724	-2.0247e+01
29.00	-1.05634	-1.9692e+01
29.20	-1.05543	-1.9193e+01
29.40	-1.05452	-1.8692e+01
29.60	-1.05374	-1.8186e+01
29.80	-1.05296	-1.7674e+01
30.00	-1.05192	-1.7113e+01
30.20	-1.05101	-1.6592e+01
30.40	-1.04997	-1.6087e+01
30.60	-1.04880	-1.5564e+01
30.80	-1.04776	-1.5052e+01
31.00	-1.04672	-1.4499e+01
31.20	-1.04581	-1.3983e+01
31.40	-1.04464	-1.3454e+01
31.60	-1.04374	-1.2978e+01
31.80	-1.04283	-1.2492e+01
32.00	-1.04166	-1.1993e+01
32.20	-1.04062	-1.1453e+01
32.40	-1.03958	-1.0954e+01
32.60	-1.03867	-1.0465e+01
32.80	-1.03763	-9.9701e+00
33.00	-1.03672	-9.4581e+00
33.20	-1.03555	-8.9160e+00
33.40	-1.03438	-8.4718e+00
33.60	-1.03347	-7.9975e+00
33.80	-1.03243	-7.5571e+00
34.00	-1.03152	-7.0884e+00
34.20	-1.03062	-6.5877e+00
34.40	-1.02971	-6.0946e+00
34.60	-1.02867	-5.6109e+00
34.80	-1.02750	-5.1290e+00
35.00	-1.02659	-4.6566e+00
35.60	-1.02360	-3.1312e+00
35.80	-1.02256	-2.6476e+00
36.00	-1.02139	-2.1541e+00
36.20	-1.02048	-1.6445e+00
36.40	-1.01944	-1.1274e+00
36.60	-1.01841	-6.5488e-01
37.20	-1.01529	5.2538e-01
37.80	-1.01230	2.0924e+00
38.00	-1.01139	2.5548e+00
38.20	-1.01048	3.0334e+00
38.40	-1.00944	3.5846e+00
38.60	-1.00840	4.0907e+00
38.80	-1.00736	4.5896e+00
39.00	-1.00632	5.0674e+00
39.20	-1.00529	5.5893e+00
39.80	-1.00204	7.2013e+00
40.00	-1.00113	7.6305e+00
40.20	-1.00009	8.1142e+00
40.40	-0.99905	8.5753e+00
40.60	-0.99814	9.0346e+00
40.80	-0.99723	9.5089e+00
41.00	-0.99619	9.9926e+00
41.20	-0.99515	1.0442e+01
41.40	-0.99411	1.0919e+01
41.60	-0.99307	1.1365e+01
41.80	-0.99217	1.1843e+01
42.00	-0.99126	1.2334e+01
42.20	-0.99022	1.2773e+01
42.40	-0.98944	1.3211e+01
42.60	-0.98866	1.3657e+01
42.80	-0.98775	1.4162e+01
43.00	-0.98684	1.4636e+01
43.20	-0.98580	1.5092e+01
43.40	-0.98489	1.5543e+01
43.60	-0.98385	1.5989e+01
43.80	-0.98281	1.6490e+01
44.00	-0.98177	1.6991e+01
44.20	-0.98086	1.7437e+01
44.40	-0.97982	1.7934e+01
44.60	-0.97879	1.8395e+01
44.80	-0.97775	1.8863e+01
45.00	-0.97684	1.9345e+01
45.20	-0.97580	1.9823e+01
45.40	-0.97476	2.0286e+01
45.60	-0.97385	2.0734e+01
45.80	-0.97281	2.1235e+01
46.00	-0.97164	2.1764e+01
46.20	-0.97073	2.2283e+01
46.40	-0.96969	2.2750e+01
46.60	-0.96865	2.3215e+01
46.80	-0.96761	2.3733e+01
47.00	-0.96671	2.4248e+01
47.20	-0.96580	2.4789e+01
47.40	-0.96476	2.5284e+01
47.60	-0.96372	2.5816e+01
47.80	-0.96281	2.6343e+01
48.00	-0.96177	2.6910e+01
48.20	-0.96060	2.7516e+01
48.40	-0.95943	2.8099e+01
48.60	-0.95839	2.8651e+01
48.80	-0.95761	2.9253e+01
49.00	-0.95657	2.9857e+01
49.20	-0.95553	3.0475e+01
49.40	-0.95449	3.1137e+01
49.60	-0.95346	3.1751e+01
49.80	-0.95242	3.2366e+01
50.00	-0.95138	3.2952e+01
50.20	-0.95047	3.3622e+01
50.40	-0.94930	3.4283e+01
50.60	-0.94839	3.4934e+01
50.80	-0.94735	3.5562e+01
51.00	-0.94618	3.6229e+01
51.20	-0.94514	3.6901e+01
51.40	-0.94423	3.7576e+01
51.60	-0.94319	3.8252e+01
51.80	-0.94215	3.8920e+01
52.00	-0.94112	3.9611e+01
52.20	-0.94008	4.0339e+01
52.40	-0.93904	4.1060e+01
52.60	-0.93800	4.1783e+01
52.80	-0.93696	4.2547e+01
53.00	-0.93592	4.3253e+01
53.20	-0.93488	4.3974e+01
53.40	-0.93397	4.4727e+01
53.60	-0.93280	4.5512e+01
53.80	-0.93189	4.6285e+01
54.00	-0.93085	4.7046e+01
54.20	-0.92981	4.7825e+01
54.40	-0.92877	4.8606e+01
54.60	-0.92774	4.9393e+01
54.80	-0.92683	5.0114e+01
55.00	-0.92592	5.0837e+01
55.20	-0.92514	5.1569e+01
55.40	-0.92423	5.2303e+01
55.60	-0.92358	5.3086e+01
55.80	-0.92267	5.3895e+01
56.00	-0.92189	5.4699e+01
56.20	-0.92085	5.5478e+01
56.40	-0.91994	5.6293e+01
57.00	-0.91721	6.1037e+01
57.20	-0.91617	6.1950e+01
57.40	-0.91514	6.2843e+01
57.60	-0.91410	6.3698e+01
57.80	-0.91319	6.4669e+01
58.00	-0.91215	6.5602e+01
58.20	-0.91124	6.6554e+01
58.40	-0.91020	6.7409e+01
58.60	-0.90916	6.8283e+01
58.80	-0.90812	6.9215e+01
59.00	-0.90695	7.0206e+01
59.20	-0.90604	7.1177e+01
59.40	-0.90500	7.2129e+01
59.60	-0.90409	7.3100e+01
59.80	-0.90305	7.4052e+01
60.00	-0.90202	7.5062e+01
60.20	-0.90111	7.6053e+01
60.40	-0.89994	7.6986e+01
60.60	-0.89903	7.7918e+01
60.80	-0.89799	7.8851e+01
61.00	-0.89695	7.9861e+01
61.20	-0.89591	8.0910e+01
61.40	-0.89487	8.1939e+01
61.60	-0.89383	8.2988e+01
61.80	-0.89292	8.4037e+01
62.00	-0.89175	8.5047e+01
62.20	-0.89084	8.6194e+01
62.40	-0.88981	8.7184e+01
62.60	-0.88864	8.8175e+01
62.80	-0.88760	8.9146e+01
63.00	-0.88669	9.0137e+01
63.20	-0.88552	9.1167e+01
63.40	-0.88448	9.2235e+01
63.60	-0.88344	9.3265e+01
63.80	-0.88253	9.4275e+01
64.00	-0.88149	9.5227e+01
64.20	-0.88058	9.6276e+01
64.40	-0.87954	9.7247e+01
64.60	-0.87863	9.8160e+01
64.80	-0.87759	9.9131e+01
65.00	-0.87656	1.0010e+02
65.20	-0.87552	1.0107e+02
65.40	-0.87448	1.0210e+02
65.60	-0.87357	1.0313e+02
65.80	-0.87253	1.0414e+02
66.00	-0.87162	1.0513e+02
66.20	-0.87058	1.0612e+02
66.40	-0.86941	1.0712e+02
66.60	-0.86850	1.0811e+02
66.80	-0.86733	1.0908e+02
67.00	-0.86629	1.1009e+02
67.20	-0.86525	1.1106e+02
67.40	-0.86422	1.1211e+02
67.60	-0.86318	1.1318e+02
67.80	-0.86214	1.1415e+02
68.00	-0.86136	1.1512e+02
68.20	-0.86045	1.1607e+02
68.40	-0.85967	1.1700e+02
68.60	-0.85876	1.1801e+02
68.80	-0.85785	1.1902e+02
69.00	-0.85694	1.2000e+02
69.20	-0.85590	1.2095e+02
69.40	-0.85499	1.2186e+02
69.60	-0.85395	1.2287e+02
69.80	-0.85291	1.2384e+02
70.00	-0.85187	1.2477e+02
70.20	-0.85084	1.2569e+02
70.40	-0.84980	1.2654e+02
70.60	-0.84889	1.2747e+02
70.80	-0.84785	1.2845e+02
71.00	-0.84681	1.2938e+02
71.20	-0.84590	1.3027e+02
71.40	-0.84473	1.3117e+02
71.60	-0.84382	1.3206e+02
71.80	-0.84278	1.3303e+02
72.00	-0.84174	1.3396e+02
72.20	-0.84057	1.3484e+02
72.40	-0.83953	1.3571e+02
72.60	-0.83863	1.3657e+02
72.80	-0.83759	1.3746e+02
73.00	-0.83668	1.3833e+02
73.20	-0.83564	1.3923e+02
73.40	-0.83460	1.4010e+02
73.60	-0.83356	1.4096e+02
73.80	-0.83252	1.4187e+02
74.00	-0.83161	1.4282e+02
74.20	-0.83057	1.4371e+02
74.40	-0.82953	1.4455e+02
74.60	-0.82849	1.4540e+02
74.80	-0.82758	1.4620e+02
75.00	-0.82641	1.4713e+02
75.20	-0.82538	1.4801e+02
75.40	-0.82434	1.4886e+02
75.60	-0.82343	1.4978e+02
75.80	-0.82226	1.5065e+02
76.00	-0.82122	1.5154e+02
76.20	-0.82018	1.5244e+02
76.40	-0.81914	1.5329e+02
76.60	-0.81823	1.5413e+02
76.80	-0.81719	1.5494e+02
77.00	-0.81615	1.5576e+02
77.20	-0.81511	1.5663e+02
77.40	-0.81407	1.5747e+02
77.60	-0.81316	1.5821e+02
77.80	-0.81200	1.5892e+02
78.00	-0.81109	1.5970e+02
78.20	-0.81018	1.6050e+02
78.40	-0.80914	1.6135e+02
78.60	-0.80823	1.6209e+02
78.80	-0.80732	1.6283e+02
79.00	-0.80628	1.6357e+02
79.20	-0.80537	1.6436e+02
79.40	-0.80433	1.6522e+02
79.60	-0.80329	1.6598e+02
79.80	-0.80225	1.6677e+02
80.00	-0.80121	1.6759e+02
80.20	-0.80018	1.6837e+02
80.40	-0.79914	1.6928e+02
80.60	-0.79810	1.7011e+02
80.80	-0.79719	1.7087e+02
81.00	-0.79615	1.7167e+02
81.20	-0.79537	1.7243e+02
81.40	-0.79446	1.7324e+02
81.60	-0.79355	1.7402e+02
81.80	-0.79251	1.7474e+02
82.00	-0.79147	1.7548e+02
82.20	-0.79056	1.7621e+02
82.40	-0.78952	1.7701e+02
82.60	-0.78861	1.7777e+02
82.80	-0.78744	1.7856e+02
83.00	-0.78654	1.7930e+02
83.20	-0.78537	1.8004e+02
83.40	-0.78446	1.8078e+02
83.60	-0.78342	1.8160e+02
83.80	-0.78251	1.8237e+02
84.00	-0.78134	1.8311e+02
84.20	-0.78030	1.8377e+02
84.40	-0.77939	1.8445e+02
84.60	-0.77835	1.8513e+02
84.80	-0.77731	1.8585e+02
85.00	-0.77614	1.8655e+02
85.20	-0.77536	1.8731e+02
85.40	-0.77420	1.8799e+02
85.60	-0.77316	1.8872e+02
85.80	-0.77225	1.8946e+02
86.00	-0.77121	1.9016e+02
86.20	-0.77017	1.9086e+02
86.40	-0.76913	1.9154e+02
86.60	-0.76809	1.9222e+02
86.80	-0.76718	1.9294e+02
87.00	-0.76601	1.9368e+02
87.20	-0.76510	1.9436e+02
87.40	-0.76406	1.9500e+02
87.60	-0.76302	1.9562e+02
87.80	-0.76198	1.9636e+02
88.00	-0.76108	1.9708e+02
88.20	-0.75991	1.9778e+02
88.40	-0.75900	1.9848e+02
88.60	-0.75796	1.9912e+02
88.80	-0.75679	1.9982e+02
89.00	-0.75588	2.0057e+02
89.20	-0.75484	2.0125e+02
89.40	-0.75380	2.0188e+02
89.60	-0.75276	2.0256e+02
89.80	-0.75172	2.0320e+02
90.00	-0.75081	2.0390e+02
90.20	-0.74990	2.0458e+02
90.40	-0.74874	2.0518e+02
90.60	-0.74757	2.0580e+02
90.80	-0.74653	2.0646e+02
91.00	-0.74562	2.0714e+02
91.20	-0.74458	2.0788e+02
91.40	-0.74354	2.0854e+02
91.60	-0.74250	2.0922e+02
91.80	-0.74146	2.0988e+02
92.00	-0.74042	2.1054e+02
92.20	-0.73925	2.1122e+02
92.40	-0.73847	2.1182e+02
92.60	-0.73730	2.1242e+02
92.80	-0.73626	2.1295e+02
93.00	-0.73549	2.1351e+02
93.20	-0.73445	2.1408e+02
93.40	-0.73341	2.1468e+02
93.60	-0.73237	2.1522e+02
93.80	-0.73159	2.1582e+02
94.00	-0.73068	2.1639e+02
94.20	-0.72977	2.1703e+02
94.40	-0.72899	2.1769e+02
94.60	-0.72808	2.1831e+02
94.80	-0.72704	2.1893e+02
95.00	-0.72613	2.1951e+02
95.20	-0.72509	2.2012e+02
95.40	-0.72405	2.2080e+02
95.60	-0.72302	2.2136e+02
95.80	-0.72198	2.2192e+02
96.00	-0.72094	2.2249e+02
96.20	-0.72003	2.2301e+02
96.40	-0.71899	2.2358e+02
96.60	-0.71808	2.2418e+02
96.80	-0.71691	2.2468e+02
97.00	-0.71600	2.2523e+02
97.20	-0.71496	2.2575e+02
97.40	-0.71392	2.2628e+02
97.60	-0.71288	2.2684e+02
97.80	-0.71184	2.2738e+02
98.00	-0.71093	2.2795e+02
98.20	-0.70990	2.2845e+02
98.40	-0.70899	2.2901e+02
98.60	-0.70782	2.2958e+02
98.80	-0.70678	2.3016e+02
99.00	-0.70587	2.3072e+02
99.20	-0.70470	2.3125e+02
99.40	-0.70366	2.3177e+02
99.60	-0.70262	2.3232e+02
99.80	-0.70158	2.3290e+02
100.00	-0.70054	2.3342e+02
100.20	-0.69937	2.3393e+02
100.40	-0.69833	2.3440e+02
100.60	-0.69743	2.3488e+02
100.80	-0.69652	2.3537e+02
101.00	-0.69535	2.3583e+02
101.20	-0.69444	2.3624e+02
101.40	-0.69340	2.3669e+02
101.60	-0.69249	2.3712e+02
101.80	-0.69145	2.3760e+02
102.00	-0.69028	2.3809e+02
102.20	-0.68937	2.3851e+02
102.40	-0.68846	2.3892e+02
102.60	-0.68742	2.3933e+02
102.80	-0.68651	2.3974e+02
103.00	-0.68560	2.4020e+02
103.20	-0.68457	2.4057e+02
103.40	-0.68366	2.4100e+02
103.60	-0.68262	2.4137e+02
103.80	-0.68158	2.4172e+02
104.00	-0.68054	2.4217e+02
104.20	-0.67950	2.4253e+02
104.40	-0.67859	2.4290e+02
104.60	-0.67768	2.4327e+02
104.80	-0.67677	2.4362e+02
105.00	-0.67573	2.4401e+02
105.20	-0.67469	2.4442e+02
105.40	-0.67378	2.4475e+02
105.60	-0.67274	2.4512e+02
105.80	-0.67171	2.4541e+02
106.00	-0.67080	2.4578e+02
106.20	-0.66976	2.4619e+02
106.40	-0.66885	2.4652e+02
106.60	-0.66781	2.4687e+02
106.80	-0.66703	2.4722e+02
107.00	-0.66612	2.4753e+02
107.20	-0.66534	2.4794e+02
107.40	-0.66443	2.4829e+02
107.60	-0.66365	2.4863e+02
107.80	-0.66274	2.4896e+02
108.00	-0.66183	2.4930e+02
108.20	-0.66079	2.4966e+02
108.40	-0.65975	2.5001e+02
108.60	-0.65872	2.5036e+02
108.80	-0.65768	2.5066e+02
109.00	-0.65677	2.5100e+02
109.20	-0.65573	2.5130e+02
109.40	-0.65469	2.5163e+02
109.60	-0.65365	2.5196e+02
109.80	-0.65274	2.5223e+02
110.00	-0.65170	2.5252e+02
110.20	-0.65066	2.5277e+02
110.40	-0.64975	2.5308e+02
110.60	-0.64871	2.5339e+02
110.80	-0.64767	2.5367e+02
111.00	-0.64663	2.5388e+02
111.20	-0.64560	2.5415e+02
111.40	-0.64456	2.5448e+02
111.60	-0.64365	2.5481e+02
111.80	-0.64261	2.5508e+02
112.00	-0.64157	2.5528e+02
112.20	-0.64053	2.5545e+02
112.40	-0.63962	2.5567e+02
112.60	-0.63871	2.5596e+02
112.80	-0.63754	2.5615e+02
113.00	-0.63663	2.5637e+02
113.20	-0.63572	2.5656e+02
113.40	-0.63468	2.5674e+02
113.60	-0.63365	2.5699e+02
113.80	-0.63261	2.5724e+02
114.00	-0.63170	2.5745e+02
114.20	-0.63066	2.5765e+02
114.40	-0.62949	2.5784e+02
114.60	-0.62858	2.5810e+02
114.80	-0.62741	2.5837e+02
115.00	-0.62637	2.5856e+02
115.20	-0.62533	2.5870e+02
115.40	-0.62442	2.5885e+02
115.60	-0.62351	2.5897e+02
115.80	-0.62260	2.5912e+02
116.00	-0.62156	2.5928e+02
116.20	-0.62053	2.5942e+02
116.40	-0.61962	2.5949e+02
116.60	-0.61871	2.5963e+02
116.80	-0.61767	2.5977e+02
117.00	-0.61663	2.5988e+02
117.20	-0.61559	2.6000e+02
117.40	-0.61468	2.6010e+02
117.60	-0.61377	2.6021e+02
117.80	-0.61286	2.6031e+02
118.00	-0.61182	2.6045e+02
118.20	-0.61091	2.6058e+02
118.40	-0.60987	2.6068e+02
118.60	-0.60883	2.6083e+02
118.80	-0.60780	2.6093e+02
119.00	-0.60676	2.6111e+02
119.20	-0.60572	2.6122e+02
119.40	-0.60455	2.6132e+02
119.60	-0.60364	2.6142e+02
119.80	-0.60260	2.6151e+02
120.00	-0.60182	2.6165e+02
120.20	-0.60091	2.6173e+02
120.40	-0.60000	2.6177e+02
120.60	-0.59922	2.6177e+02
120.80	-0.59909	2.6048e+02
121.00	-0.59987	2.5846e+02
121.20	-0.60078	2.5650e+02
121.40	-0.60156	2.5464e+02
121.60	-0.60260	2.5281e+02
121.80	-0.60351	2.5108e+02
122.00	-0.60455	2.4931e+02
122.20	-0.60559	2.4749e+02
122.40	-0.60663	2.4572e+02
122.60	-0.60767	2.4401e+02
122.80	-0.60870	2.4240e+02
123.00	-0.60974	2.4079e+02
123.20	-0.61065	2.3915e+02
123.40	-0.61156	2.3748e+02
123.60	-0.61260	2.3589e+02
123.80	-0.61364	2.3434e+02
124.00	-0.61455	2.3282e+02
124.20	-0.61559	2.3133e+02
124.40	-0.61663	2.2977e+02
124.60	-0.61754	2.2824e+02
124.80	-0.61858	2.2674e+02
125.00	-0.61962	2.2527e+02
125.20	-0.62053	2.2385e+02
125.40	-0.62143	2.2241e+02
125.60	-0.62234	2.2095e+02
125.80	-0.62338	2.1953e+02
126.00	-0.62429	2.1810e+02
126.20	-0.62533	2.1668e+02
126.40	-0.62637	2.1526e+02
126.60	-0.62741	2.1380e+02
126.80	-0.62845	2.1248e+02
127.00	-0.62949	2.1105e+02
127.20	-0.63053	2.0963e+02
127.40	-0.63144	2.0827e+02
127.60	-0.63248	2.0681e+02
127.80	-0.63365	2.0545e+02
128.00	-0.63455	2.0415e+02
128.20	-0.63559	2.0293e+02
128.40	-0.63650	2.0158e+02
128.60	-0.63754	2.0026e+02
128.80	-0.63845	1.9890e+02
129.00	-0.63949	1.9764e+02
129.20	-0.64040	1.9634e+02
129.40	-0.64144	1.9512e+02
129.60	-0.64248	1.9391e+02
129.80	-0.64339	1.9259e+02
130.00	-0.64456	1.9129e+02
130.20	-0.64547	1.9001e+02
130.40	-0.64651	1.8880e+02
130.60	-0.64754	1.8758e+02
130.80	-0.64858	1.8626e+02
131.00	-0.64962	1.8503e+02
131.20	-0.65066	1.8389e+02
131.40	-0.65170	1.8268e+02
131.60	-0.65274	1.8150e+02
131.80	-0.65365	1.8025e+02
132.00	-0.65469	1.7903e+02
132.20	-0.65573	1.7785e+02
132.40	-0.65677	1.7668e+02
132.60	-0.65768	1.7555e+02
132.80	-0.65872	1.7445e+02
133.00	-0.65975	1.7330e+02
133.20	-0.66066	1.7212e+02
133.40	-0.66170	1.7099e+02
133.60	-0.66261	1.6984e+02
133.80	-0.66352	1.6874e+02
134.00	-0.66443	1.6757e+02
134.20	-0.66521	1.6642e+02
134.40	-0.66599	1.6537e+02
134.60	-0.66690	1.6436e+02
134.80	-0.66781	1.6332e+02
135.00	-0.66872	1.6225e+02
135.20	-0.66989	1.6112e+02
135.40	-0.67080	1.6005e+02
135.60	-0.67184	1.5902e+02
135.80	-0.67261	1.5795e+02
136.00	-0.67352	1.5692e+02
136.20	-0.67456	1.5586e+02
136.40	-0.67573	1.5485e+02
136.60	-0.67664	1.5385e+02
136.80	-0.67768	1.5283e+02
137.00	-0.67872	1.5183e+02
137.20	-0.67976	1.5080e+02
137.40	-0.68067	1.4976e+02
137.60	-0.68171	1.4875e+02
137.80	-0.68249	1.4774e+02
138.00	-0.68353	1.4676e+02
138.20	-0.68444	1.4581e+02
138.40	-0.68534	1.4486e+02
138.60	-0.68638	1.4391e+02
138.80	-0.68742	1.4296e+02
139.00	-0.68846	1.4199e+02
139.20	-0.68937	1.4105e+02
139.40	-0.69041	1.4004e+02
139.60	-0.69145	1.3905e+02
139.80	-0.69236	1.3810e+02
140.00	-0.69340	1.3717e+02
140.20	-0.69444	1.3627e+02
140.40	-0.69522	1.3534e+02
140.60	-0.69639	1.3445e+02
140.80	-0.69730	1.3352e+02
141.00	-0.69833	1.3260e+02
141.20	-0.69950	1.3167e+02
141.40	-0.70041	1.3068e+02
141.60	-0.70158	1.2967e+02
141.80	-0.70262	1.2872e+02
142.00	-0.70366	1.2777e+02
142.20	-0.70483	1.2689e+02
142.40	-0.70574	1.2604e+02
142.60	-0.70678	1.2510e+02
142.80	-0.70782	1.2421e+02
143.00	-0.70886	1.2330e+02
143.20	-0.70990	1.2240e+02
143.40	-0.71080	1.2155e+02
143.60	-0.71184	1.2067e+02
143.80	-0.71288	1.1974e+02
144.00	-0.71392	1.1889e+02
144.20	-0.71483	1.1801e+02
144.40	-0.71587	1.1720e+02
144.60	-0.71691	1.1636e+02
144.80	-0.71795	1.1549e+02
145.00	-0.71886	1.1461e+02
145.20	-0.71990	1.1380e+02
145.40	-0.72094	1.1296e+02
145.60	-0.72198	1.1217e+02
145.80	-0.72302	1.1127e+02
146.00	-0.72405	1.1040e+02
146.20	-0.72496	1.0952e+02
146.40	-0.72613	1.0869e+02
146.60	-0.72704	1.0789e+02
146.80	-0.72795	1.0708e+02
147.00	-0.72899	1.0626e+02
147.20	-0.72977	1.0548e+02
147.40	-0.73068	1.0469e+02
147.60	-0.73146	1.0387e+02
147.80	-0.73250	1.0311e+02
148.00	-0.73341	1.0228e+02
148.20	-0.73445	1.0150e+02
148.40	-0.73536	1.0072e+02
148.60	-0.73639	9.9967e+01
148.80	-0.73730	9.9209e+01
149.00	-0.73834	9.8413e+01
149.20	-0.73925	9.7674e+01
149.40	-0.74042	9.6917e+01
149.60	-0.74133	9.6179e+01
149.80	-0.74250	9.5402e+01
150.00	-0.74354	9.4605e+01
150.20	-0.74458	9.3809e+01
150.40	-0.74562	9.3051e+01
150.60	-0.74666	9.2274e+01
150.80	-0.74770	9.1516e+01
151.00	-0.74874	9.0759e+01
151.20	-0.74977	8.9943e+01
151.40	-0.75068	8.9205e+01
151.60	-0.75172	8.8486e+01
151.80	-0.75276	8.7806e+01
152.00	-0.75380	8.7145e+01
152.20	-0.75484	8.6407e+01
152.40	-0.75588	8.5669e+01
152.60	-0.75692	8.4970e+01
152.80	-0.75796	8.4212e+01
153.00	-0.75900	8.3493e+01
153.20	-0.76004	8.2775e+01
153.40	-0.76108	8.2017e+01
153.60	-0.76211	8.1318e+01
153.80	-0.76315	8.0599e+01
154.00	-0.76419	7.9958e+01
154.20	-0.76510	7.9239e+01
154.40	-0.76614	7.8559e+01
154.60	-0.76718	7.7860e+01
154.80	-0.76822	7.7238e+01
155.00	-0.76926	7.6597e+01
155.20	-0.77017	7.5937e+01
155.40	-0.77121	7.5237e+01
155.60	-0.77225	7.4499e+01
