t,s	E,V	I(E),mA
0.20	-1.20234	-2.5677e+02
0.40	-1.19948	-2.1885e+02
0.60	-1.19844	-2.0349e+02
0.80	-1.19715	-1.9356e+02
1.00	-1.19624	-1.8581e+02
1.20	-1.19507	-1.7932e+02
1.40	-1.19390	-1.7363e+02
1.60	-1.19299	-1.6846e+02
1.80	-1.19208	-1.6380e+02
2.00	-1.19104	-1.5929e+02
2.20	-1.19000	-1.5518e+02
2.40	-1.18896	-1.5137e+02
2.60	-1.18792	-1.4770e+02
2.80	-1.18688	-1.4437e+02
3.00	-1.18597	-1.4115e+02
3.20	-1.18506	-1.3798e+02
3.40	-1.18416	-1.3515e+02
3.60	-1.18325	-1.3237e+02
3.80	-1.18234	-1.2975e+02
4.00	-1.18156	-1.2728e+02
4.20	-1.18065	-1.2495e+02
4.40	-1.17948	-1.2266e+02
4.60	-1.17857	-1.2044e+02
4.80	-1.17766	-1.1836e+02
5.00	-1.17649	-1.1640e+02
5.20	-1.17558	-1.1446e+02
5.40	-1.17454	-1.1252e+02
5.60	-1.17350	-1.1067e+02
5.80	-1.17246	-1.0890e+02
6.00	-1.17156	-1.0725e+02
6.20	-1.17052	-1.0566e+02
6.40	-1.16961	-1.0397e+02
6.60	-1.16844	-1.0243e+02
6.80	-1.16740	-1.0092e+02
7.00	-1.16636	-9.9500e+01
7.20	-1.16545	-9.8141e+01
7.40	-1.16441	-9.6820e+01
7.60	-1.16337	-9.5460e+01
7.80	-1.16220	-9.4217e+01
8.00	-1.16129	-9.2934e+01
8.20	-1.16025	-9.1691e+01
8.40	-1.15935	-9.0526e+01
8.60	-1.15831	-8.9321e+01
8.80	-1.15727	-8.8195e+01
9.00	-1.15623	-8.7223e+01
9.20	-1.15519	-8.6213e+01
9.40	-1.15428	-8.5164e+01
9.60	-1.15337	-8.4115e+01
9.80	-1.15233	-8.3085e+01
10.00	-1.15129	-8.2114e+01
10.20	-1.15038	-8.1123e+01
10.40	-1.14934	-8.0172e+01
10.60	-1.14830	-7.9220e+01
10.80	-1.14752	-7.8287e+01
11.00	-1.14648	-7.7413e+01
11.20	-1.14545	-7.6558e+01
11.40	-1.14441	-7.5704e+01
11.60	-1.14337	-7.4849e+01
11.80	-1.14233	-7.3936e+01
12.00	-1.14129	-7.3081e+01
12.20	-1.14038	-7.2207e+01
12.40	-1.13921	-7.1372e+01
12.60	-1.13830	-7.0575e+01
12.80	-1.13739	-6.9740e+01
13.00	-1.13622	-6.8924e+01
13.20	-1.13531	-6.8186e+01
13.40	-1.13414	-6.7409e+01
13.60	-1.13311	-6.6729e+01
13.80	-1.13220	-6.5952e+01
14.00	-1.13116	-6.5194e+01
14.20	-1.13012	-6.4436e+01
14.40	-1.12908	-6.3698e+01
14.60	-1.12817	-6.2999e+01
