t,s	E,V	I(E),mA
0.30	-1.20104	-1.6695e+02
0.50	-1.20078	-1.6444e+02
0.70	-1.20065	-1.6215e+02
0.90	-1.20052	-1.6009e+02
1.10	-1.20000	-1.5821e+02
1.30	-1.20000	-1.5652e+02
1.50	-1.19974	-1.5506e+02
1.70	-1.19961	-1.5368e+02
1.90	-1.19948	-1.5242e+02
2.10	-1.19922	-1.5119e+02
2.30	-1.19896	-1.5012e+02
2.50	-1.19857	-1.4910e+02
2.70	-1.19857	-1.4820e+02
2.90	-1.19844	-1.4735e+02
3.10	-1.19818	-1.4649e+02
3.30	-1.19792	-1.4577e+02
3.50	-1.19767	-1.4505e+02
3.70	-1.19754	-1.4445e+02
3.90	-1.19728	-1.4377e+02
4.10	-1.19702	-1.4313e+02
4.30	-1.19689	-1.4259e+02
4.50	-1.19676	-1.4199e+02
4.70	-1.19650	-1.4142e+02
4.90	-1.19624	-1.4086e+02
5.10	-1.19598	-1.4037e+02
5.30	-1.19572	-1.3981e+02
5.50	-1.19559	-1.3930e+02
5.70	-1.19533	-1.3884e+02
5.90	-1.19507	-1.3829e+02
6.10	-1.19494	-1.3787e+02
6.30	-1.19494	-1.3734e+02
6.50	-1.19455	-1.3690e+02
6.70	-1.19429	-1.3641e+02
6.90	-1.19416	-1.3598e+02
7.10	-1.19390	-1.3557e+02
7.30	-1.19377	-1.3509e+02
7.50	-1.19351	-1.3466e+02
7.70	-1.19338	-1.3418e+02
7.90	-1.19325	-1.3377e+02
8.10	-1.19312	-1.3324e+02
8.30	-1.19273	-1.3278e+02
8.50	-1.19247	-1.3233e+02
8.70	-1.19221	-1.3186e+02
8.90	-1.19208	-1.3146e+02
9.10	-1.19182	-1.3093e+02
9.30	-1.19169	-1.3056e+02
9.50	-1.19156	-1.3012e+02
9.70	-1.19130	-1.2971e+02
9.90	-1.19117	-1.2940e+02
10.10	-1.19104	-1.2901e+02
10.30	-1.19065	-1.2862e+02
10.50	-1.19052	-1.2821e+02
10.70	-1.19026	-1.2788e+02
10.90	-1.19013	-1.2753e+02
11.10	-1.19000	-1.2722e+02
11.30	-1.18961	-1.2691e+02
11.50	-1.18948	-1.2666e+02
11.70	-1.18909	-1.2637e+02
11.90	-1.18896	-1.2606e+02
12.10	-1.18896	-1.2586e+02
12.30	-1.18870	-1.2553e+02
12.50	-1.18844	-1.2530e+02
12.70	-1.18818	-1.2507e+02
12.90	-1.18805	-1.2481e+02
13.10	-1.18779	-1.2456e+02
13.30	-1.18753	-1.2427e+02
13.50	-1.18727	-1.2407e+02
13.70	-1.18714	-1.2386e+02
13.90	-1.18701	-1.2369e+02
14.10	-1.18675	-1.2345e+02
14.30	-1.18662	-1.2326e+02
14.50	-1.18649	-1.2304e+02
14.70	-1.18636	-1.2287e+02
14.90	-1.18610	-1.2271e+02
15.10	-1.18584	-1.2252e+02
15.30	-1.18571	-1.2229e+02
15.50	-1.18558	-1.2209e+02
15.70	-1.18532	-1.2190e+02
15.90	-1.18519	-1.2174e+02
16.10	-1.18493	-1.2153e+02
16.30	-1.18468	-1.2135e+02
16.50	-1.18468	-1.2122e+02
16.70	-1.18455	-1.2104e+02
16.90	-1.18429	-1.2085e+02
17.10	-1.18416	-1.2075e+02
17.30	-1.18390	-1.2050e+02
17.50	-1.18390	-1.2040e+02
17.70	-1.18364	-1.2025e+02
17.90	-1.18338	-1.2003e+02
18.10	-1.18325	-1.1994e+02
18.30	-1.18312	-1.1974e+02
18.50	-1.18286	-1.1961e+02
18.70	-1.18273	-1.1943e+02
18.90	-1.18247	-1.1928e+02
19.10	-1.18221	-1.1912e+02
19.30	-1.18221	-1.1897e+02
19.50	-1.18208	-1.1889e+02
19.70	-1.18182	-1.1869e+02
19.90	-1.18169	-1.1856e+02
20.10	-1.18143	-1.1840e+02
20.30	-1.18130	-1.1821e+02
20.50	-1.18091	-1.1809e+02
20.70	-1.18078	-1.1794e+02
20.90	-1.18052	-1.1778e+02
21.10	-1.18052	-1.1764e+02
21.30	-1.18026	-1.1755e+02
21.50	-1.18013	-1.1739e+02
21.70	-1.17987	-1.1724e+02
21.90	-1.17961	-1.1710e+02
22.10	-1.17961	-1.1695e+02
22.30	-1.17935	-1.1687e+02
22.50	-1.17896	-1.1669e+02
22.70	-1.17883	-1.1652e+02
22.90	-1.17883	-1.1636e+02
23.10	-1.17844	-1.1627e+02
23.30	-1.17831	-1.1619e+02
23.50	-1.17805	-1.1599e+02
23.70	-1.17779	-1.1588e+02
23.90	-1.17766	-1.1570e+02
24.10	-1.17740	-1.1557e+02
24.30	-1.17714	-1.1541e+02
24.50	-1.17701	-1.1529e+02
24.70	-1.17675	-1.1514e+02
24.90	-1.17662	-1.1498e+02
25.10	-1.17649	-1.1489e+02
25.30	-1.17623	-1.1465e+02
25.50	-1.17597	-1.1461e+02
25.70	-1.17584	-1.1448e+02
25.90	-1.17558	-1.1434e+02
26.10	-1.17545	-1.1419e+02
26.30	-1.17519	-1.1405e+02
26.50	-1.17493	-1.1395e+02
26.70	-1.17480	-1.1382e+02
26.90	-1.17467	-1.1370e+02
27.10	-1.17428	-1.1349e+02
27.30	-1.17415	-1.1337e+02
27.50	-1.17402	-1.1325e+02
27.70	-1.17363	-1.1312e+02
27.90	-1.17363	-1.1298e+02
28.10	-1.17324	-1.1277e+02
28.30	-1.17311	-1.1263e+02
28.50	-1.17298	-1.1250e+02
28.70	-1.17285	-1.1234e+02
28.90	-1.17246	-1.1213e+02
29.10	-1.17233	-1.1203e+02
29.30	-1.17220	-1.1187e+02
29.50	-1.17208	-1.1170e+02
29.70	-1.17182	-1.1168e+02
29.90	-1.17156	-1.1149e+02
30.10	-1.17130	-1.1133e+02
30.30	-1.17117	-1.1116e+02
30.50	-1.17104	-1.1104e+02
30.70	-1.17091	-1.1092e+02
30.90	-1.17065	-1.1075e+02
31.10	-1.17039	-1.1065e+02
31.30	-1.17026	-1.1048e+02
31.50	-1.17000	-1.1034e+02
31.70	-1.16974	-1.1013e+02
31.90	-1.16961	-1.1005e+02
32.10	-1.16935	-1.0993e+02
32.30	-1.16922	-1.0974e+02
32.50	-1.16883	-1.0960e+02
32.70	-1.16870	-1.0941e+02
32.90	-1.16857	-1.0925e+02
33.10	-1.16844	-1.0910e+02
33.30	-1.16805	-1.0896e+02
33.50	-1.16792	-1.0883e+02
33.70	-1.16753	-1.0865e+02
33.90	-1.16740	-1.0849e+02
34.10	-1.16714	-1.0832e+02
34.30	-1.16701	-1.0824e+02
34.50	-1.16675	-1.0805e+02
34.70	-1.16675	-1.0791e+02
34.90	-1.16636	-1.0774e+02
35.10	-1.16610	-1.0762e+02
35.30	-1.16597	-1.0750e+02
35.50	-1.16584	-1.0737e+02
35.70	-1.16558	-1.0723e+02
35.90	-1.16545	-1.0710e+02
36.10	-1.16532	-1.0698e+02
36.30	-1.16506	-1.0682e+02
36.50	-1.16467	-1.0669e+02
36.70	-1.16441	-1.0659e+02
36.90	-1.16454	-1.0644e+02
37.10	-1.16415	-1.0632e+02
37.30	-1.16402	-1.0614e+02
37.50	-1.16363	-1.0605e+02
37.70	-1.16350	-1.0589e+02
37.90	-1.16337	-1.0579e+02
38.10	-1.16324	-1.0564e+02
38.30	-1.16298	-1.0554e+02
38.50	-1.16272	-1.0546e+02
38.70	-1.16259	-1.0529e+02
38.90	-1.16233	-1.0517e+02
39.10	-1.16220	-1.0498e+02
39.30	-1.16207	-1.0484e+02
39.50	-1.16168	-1.0471e+02
39.70	-1.16155	-1.0455e+02
39.90	-1.16116	-1.0443e+02
40.10	-1.16103	-1.0422e+02
40.30	-1.16077	-1.0409e+02
40.50	-1.16077	-1.0395e+02
40.70	-1.16051	-1.0381e+02
40.90	-1.16012	-1.0387e+02
41.10	-1.16012	-1.0370e+02
41.30	-1.15986	-1.0352e+02
41.50	-1.15973	-1.0335e+02
41.70	-1.15947	-1.0323e+02
41.90	-1.15935	-1.0306e+02
42.10	-1.15909	-1.0292e+02
42.30	-1.15883	-1.0276e+02
42.50	-1.15883	-1.0263e+02
42.70	-1.15844	-1.0249e+02
42.90	-1.15831	-1.0230e+02
43.10	-1.15805	-1.0218e+02
43.30	-1.15779	-1.0201e+02
43.50	-1.15779	-1.0187e+02
43.70	-1.15740	-1.0170e+02
43.90	-1.15727	-1.0156e+02
44.10	-1.15701	-1.0142e+02
44.30	-1.15688	-1.0129e+02
44.50	-1.15662	-1.0113e+02
44.70	-1.15636	-1.0100e+02
44.90	-1.15623	-1.0088e+02
45.10	-1.15597	-1.0069e+02
45.30	-1.15584	-1.0061e+02
45.50	-1.15558	-1.0043e+02
45.70	-1.15545	-1.0026e+02
45.90	-1.15519	-1.0014e+02
46.10	-1.15506	-1.0003e+02
46.30	-1.15506	-9.9850e+01
46.50	-1.15467	-9.9695e+01
46.70	-1.15441	-9.9578e+01
46.90	-1.15428	-9.9403e+01
47.10	-1.15415	-9.9248e+01
47.30	-1.15389	-9.9112e+01
47.50	-1.15376	-9.8957e+01
47.70	-1.15363	-9.8840e+01
47.90	-1.15337	-9.8665e+01
48.10	-1.15337	-9.8568e+01
48.30	-1.15311	-9.8413e+01
48.50	-1.15285	-9.8238e+01
48.70	-1.15259	-9.8141e+01
48.90	-1.15259	-9.7966e+01
49.10	-1.15233	-9.7849e+01
49.30	-1.15207	-9.7713e+01
49.50	-1.15194	-9.7636e+01
49.70	-1.15181	-9.7500e+01
49.90	-1.15155	-9.7364e+01
50.10	-1.15142	-9.7208e+01
50.30	-1.15103	-9.7033e+01
50.50	-1.15090	-9.6917e+01
50.70	-1.15077	-9.6800e+01
50.90	-1.15051	-9.6645e+01
51.10	-1.15038	-9.6528e+01
51.30	-1.15012	-9.6392e+01
51.50	-1.14986	-9.6295e+01
51.70	-1.14973	-9.6140e+01
51.90	-1.14947	-9.6004e+01
52.10	-1.14934	-9.5771e+01
52.30	-1.14895	-9.5693e+01
52.50	-1.14882	-9.5499e+01
52.70	-1.14869	-9.5421e+01
52.90	-1.14843	-9.5285e+01
53.10	-1.14843	-9.5091e+01
53.30	-1.14791	-9.4955e+01
53.50	-1.14791	-9.4761e+01
53.70	-1.14765	-9.4663e+01
53.90	-1.14739	-9.4489e+01
54.10	-1.14726	-9.4469e+01
54.30	-1.14713	-9.4294e+01
54.50	-1.14687	-9.4139e+01
54.70	-1.14674	-9.4022e+01
54.90	-1.14648	-9.3847e+01
55.10	-1.14623	-9.3673e+01
55.30	-1.14610	-9.3556e+01
55.50	-1.14584	-9.3420e+01
55.70	-1.14558	-9.3284e+01
55.90	-1.14545	-9.3109e+01
56.10	-1.14519	-9.3032e+01
56.30	-1.14506	-9.2857e+01
56.50	-1.14480	-9.2721e+01
56.70	-1.14467	-9.2565e+01
56.90	-1.14441	-9.2449e+01
57.10	-1.14428	-9.2274e+01
57.30	-1.14415	-9.2138e+01
57.50	-1.14389	-9.2041e+01
57.70	-1.14376	-9.1866e+01
57.90	-1.14350	-9.1769e+01
58.10	-1.14337	-9.1594e+01
58.30	-1.14311	-9.1439e+01
58.50	-1.14285	-9.1283e+01
58.70	-1.14259	-9.1108e+01
58.90	-1.14246	-9.0972e+01
59.10	-1.14233	-9.0817e+01
59.30	-1.14194	-9.0700e+01
59.50	-1.14181	-9.0545e+01
59.70	-1.14168	-9.0429e+01
59.90	-1.14142	-9.0254e+01
60.10	-1.14129	-9.0157e+01
60.30	-1.14090	-9.0001e+01
60.50	-1.14077	-8.9787e+01
60.70	-1.14064	-8.9690e+01
60.90	-1.14051	-8.9515e+01
61.10	-1.14025	-8.9360e+01
61.30	-1.13999	-8.9185e+01
61.50	-1.13973	-8.9069e+01
61.70	-1.13960	-8.8952e+01
61.90	-1.13934	-8.8777e+01
62.10	-1.13921	-8.8661e+01
62.30	-1.13895	-8.8486e+01
62.50	-1.13882	-8.8330e+01
62.70	-1.13856	-8.8156e+01
62.90	-1.13843	-8.8059e+01
63.10	-1.13817	-8.7923e+01
63.30	-1.13791	-8.7748e+01
63.50	-1.13765	-8.7631e+01
63.70	-1.13752	-8.7495e+01
63.90	-1.13726	-8.7379e+01
64.10	-1.13713	-8.7204e+01
64.30	-1.13700	-8.7107e+01
64.50	-1.13674	-8.6951e+01
64.70	-1.13661	-8.6815e+01
64.90	-1.13635	-8.6699e+01
65.10	-1.13609	-8.6543e+01
65.30	-1.13596	-8.6407e+01
65.50	-1.13570	-8.6213e+01
65.70	-1.13544	-8.6135e+01
65.90	-1.13531	-8.5980e+01
66.10	-1.13505	-8.5844e+01
66.30	-1.13466	-8.5708e+01
66.50	-1.13453	-8.5533e+01
66.70	-1.13440	-8.5417e+01
66.90	-1.13414	-8.5242e+01
67.10	-1.13401	-8.5106e+01
67.30	-1.13388	-8.4950e+01
67.50	-1.13363	-8.4795e+01
67.70	-1.13337	-8.4678e+01
67.90	-1.13324	-8.4504e+01
68.10	-1.13311	-8.4387e+01
68.30	-1.13285	-8.4232e+01
68.50	-1.13259	-8.4076e+01
68.70	-1.13233	-8.3901e+01
68.90	-1.13207	-8.3765e+01
69.10	-1.13194	-8.3668e+01
69.30	-1.13181	-8.3513e+01
69.50	-1.13155	-8.3357e+01
69.70	-1.13142	-8.3221e+01
69.90	-1.13116	-8.3066e+01
70.10	-1.13103	-8.2949e+01
70.30	-1.13090	-8.2794e+01
70.50	-1.13064	-8.2658e+01
70.70	-1.13051	-8.2522e+01
70.90	-1.13012	-8.2444e+01
71.10	-1.12999	-8.2231e+01
71.30	-1.12986	-8.2134e+01
71.50	-1.12960	-8.1920e+01
71.70	-1.12947	-8.1842e+01
71.90	-1.12908	-8.1648e+01
72.10	-1.12895	-8.1531e+01
72.30	-1.12882	-8.1434e+01
72.50	-1.12856	-8.1279e+01
72.70	-1.12843	-8.1143e+01
72.90	-1.12817	-8.0987e+01
73.10	-1.12804	-8.0851e+01
73.30	-1.12778	-8.0696e+01
73.50	-1.12752	-8.0560e+01
73.70	-1.12726	-8.0463e+01
73.90	-1.12713	-8.0269e+01
74.10	-1.12700	-8.0172e+01
74.30	-1.12674	-8.0016e+01
74.50	-1.12648	-7.9880e+01
74.70	-1.12635	-7.9705e+01
74.90	-1.12635	-7.9589e+01
75.10	-1.12609	-7.9472e+01
75.30	-1.12583	-7.9297e+01
75.50	-1.12557	-7.9200e+01
75.70	-1.12531	-7.9045e+01
75.90	-1.12518	-7.8889e+01
76.10	-1.12505	-7.8715e+01
76.30	-1.12479	-7.8617e+01
76.50	-1.12453	-7.8481e+01
76.70	-1.12440	-7.8384e+01
76.90	-1.12414	-7.8248e+01
77.10	-1.12388	-7.8054e+01
77.30	-1.12388	-7.7957e+01
77.50	-1.12362	-7.7821e+01
77.70	-1.12349	-7.7724e+01
77.90	-1.12323	-7.7588e+01
78.10	-1.12297	-7.7471e+01
78.30	-1.12284	-7.7355e+01
78.50	-1.12258	-7.7180e+01
78.70	-1.12232	-7.7044e+01
78.90	-1.12219	-7.6927e+01
79.10	-1.12193	-7.6850e+01
79.30	-1.12180	-7.6694e+01
79.50	-1.12154	-7.6558e+01
79.70	-1.12141	-7.6422e+01
79.90	-1.12128	-7.6247e+01
80.10	-1.12102	-7.6111e+01
80.30	-1.12090	-7.5975e+01
80.50	-1.12064	-7.5859e+01
80.70	-1.12051	-7.5665e+01
80.90	-1.12025	-7.5548e+01
81.10	-1.12025	-7.5451e+01
81.30	-1.11986	-7.5276e+01
81.50	-1.11973	-7.5160e+01
81.70	-1.11960	-7.5024e+01
81.90	-1.11947	-7.4888e+01
82.10	-1.11908	-7.4693e+01
82.30	-1.11908	-7.4557e+01
82.50	-1.11882	-7.4480e+01
82.70	-1.11869	-7.4305e+01
82.90	-1.11843	-7.4188e+01
83.10	-1.11830	-7.4013e+01
83.30	-1.11830	-7.3916e+01
83.50	-1.11817	-7.3761e+01
83.70	-1.11778	-7.3644e+01
83.90	-1.11765	-7.3528e+01
84.10	-1.11752	-7.3353e+01
84.30	-1.11726	-7.3275e+01
84.50	-1.11713	-7.3120e+01
84.70	-1.11700	-7.3003e+01
84.90	-1.11687	-7.2809e+01
85.10	-1.11648	-7.2712e+01
85.30	-1.11635	-7.2576e+01
85.50	-1.11622	-7.2421e+01
85.70	-1.11596	-7.2323e+01
85.90	-1.11596	-7.2187e+01
86.10	-1.11583	-7.2071e+01
86.30	-1.11544	-7.1915e+01
86.50	-1.11531	-7.1799e+01
86.70	-1.11505	-7.1663e+01
86.90	-1.11492	-7.1546e+01
87.10	-1.11466	-7.1449e+01
87.30	-1.11453	-7.1255e+01
87.50	-1.11414	-7.1119e+01
87.70	-1.11414	-7.0964e+01
87.90	-1.11401	-7.0886e+01
88.10	-1.11375	-7.0711e+01
88.30	-1.11349	-7.0575e+01
88.50	-1.11323	-7.0458e+01
88.70	-1.11297	-7.0284e+01
88.90	-1.11284	-7.0187e+01
89.10	-1.11258	-7.0031e+01
89.30	-1.11219	-6.9915e+01
89.50	-1.11193	-6.9740e+01
89.70	-1.11180	-6.9623e+01
89.90	-1.11167	-6.9487e+01
90.10	-1.11141	-6.9351e+01
90.30	-1.11115	-6.9254e+01
90.50	-1.11102	-6.9099e+01
90.70	-1.11115	-6.8982e+01
90.90	-1.11089	-6.8827e+01
91.10	-1.11063	-6.8730e+01
91.30	-1.11037	-6.8632e+01
91.50	-1.11024	-6.8496e+01
91.70	-1.11024	-6.8380e+01
91.90	-1.10998	-6.8244e+01
92.10	-1.10972	-6.8147e+01
92.30	-1.10946	-6.7991e+01
92.50	-1.10933	-6.7914e+01
92.70	-1.10907	-6.7797e+01
92.90	-1.10881	-6.7642e+01
93.10	-1.10868	-6.7545e+01
93.30	-1.10855	-6.7409e+01
93.50	-1.10829	-6.7292e+01
93.70	-1.10804	-6.7137e+01
93.90	-1.10791	-6.7039e+01
94.10	-1.10765	-6.6884e+01
94.30	-1.10739	-6.6768e+01
94.50	-1.10726	-6.6670e+01
94.70	-1.10687	-6.6515e+01
94.90	-1.10674	-6.6398e+01
95.10	-1.10661	-6.6243e+01
95.30	-1.10648	-6.6165e+01
95.50	-1.10622	-6.5990e+01
95.70	-1.10609	-6.5874e+01
95.90	-1.10583	-6.5777e+01
96.10	-1.10570	-6.5602e+01
96.30	-1.10518	-6.5505e+01
96.50	-1.10505	-6.5349e+01
96.70	-1.10479	-6.5213e+01
96.90	-1.10466	-6.5077e+01
97.10	-1.10440	-6.4941e+01
97.30	-1.10427	-6.4825e+01
97.50	-1.10401	-6.4669e+01
97.70	-1.10362	-6.4572e+01
97.90	-1.10362	-6.4417e+01
98.10	-1.10349	-6.4320e+01
98.30	-1.10310	-6.4126e+01
98.50	-1.10297	-6.4028e+01
98.70	-1.10258	-6.3892e+01
98.90	-1.10245	-6.3756e+01
99.10	-1.10232	-6.3679e+01
99.30	-1.10219	-6.3523e+01
99.50	-1.10206	-6.3407e+01
99.70	-1.10180	-6.3232e+01
99.90	-1.10154	-6.3115e+01
100.10	-1.10141	-6.2979e+01
100.30	-1.10115	-6.2863e+01
100.50	-1.10102	-6.2727e+01
100.70	-1.10089	-6.2630e+01
100.90	-1.10063	-6.2494e+01
101.10	-1.10037	-6.2300e+01
101.30	-1.10024	-6.2222e+01
101.50	-1.09998	-6.2086e+01
101.70	-1.09998	-6.1950e+01
101.90	-1.09972	-6.1853e+01
102.10	-1.09959	-6.1658e+01
102.30	-1.09920	-6.1561e+01
102.50	-1.09894	-6.1406e+01
102.70	-1.09881	-6.1289e+01
102.90	-1.09868	-6.1192e+01
103.10	-1.09842	-6.1037e+01
103.30	-1.09816	-6.0940e+01
103.50	-1.09803	-6.0784e+01
103.70	-1.09777	-6.0687e+01
103.90	-1.09764	-6.0532e+01
104.10	-1.09751	-6.0435e+01
104.30	-1.09725	-6.0260e+01
104.50	-1.09699	-6.0124e+01
104.70	-1.09686	-6.0027e+01
104.90	-1.09660	-5.9852e+01
105.10	-1.09634	-5.9755e+01
105.30	-1.09621	-5.9638e+01
105.50	-1.09595	-5.9502e+01
105.70	-1.09569	-5.9327e+01
105.90	-1.09556	-5.9211e+01
106.10	-1.09530	-5.9094e+01
106.30	-1.09518	-5.8958e+01
106.50	-1.09505	-5.8900e+01
106.70	-1.09466	-5.8745e+01
106.90	-1.09453	-5.8609e+01
107.10	-1.09440	-5.8492e+01
107.30	-1.09414	-5.8375e+01
107.50	-1.09388	-5.8259e+01
107.70	-1.09362	-5.8142e+01
107.90	-1.09336	-5.8006e+01
108.10	-1.09336	-5.7890e+01
108.30	-1.09310	-5.7793e+01
108.50	-1.09297	-5.7637e+01
108.70	-1.09258	-5.7540e+01
108.90	-1.09232	-5.7424e+01
109.10	-1.09245	-5.7288e+01
109.30	-1.09206	-5.7190e+01
109.50	-1.09193	-5.7054e+01
109.70	-1.09167	-5.6918e+01
109.90	-1.09154	-5.6763e+01
110.10	-1.09128	-5.6685e+01
110.30	-1.09102	-5.6530e+01
110.50	-1.09089	-5.6433e+01
110.70	-1.09063	-5.6297e+01
110.90	-1.09037	-5.6141e+01
111.10	-1.09024	-5.6064e+01
111.30	-1.08998	-5.5889e+01
111.50	-1.08985	-5.5811e+01
111.70	-1.08959	-5.5636e+01
111.90	-1.08959	-5.5539e+01
112.10	-1.08933	-5.5423e+01
112.30	-1.08920	-5.5306e+01
112.50	-1.08894	-5.5190e+01
112.70	-1.08868	-5.5034e+01
112.90	-1.08842	-5.4918e+01
113.10	-1.08829	-5.4762e+01
113.30	-1.08803	-5.4665e+01
113.50	-1.08790	-5.4548e+01
113.70	-1.08764	-5.4393e+01
113.90	-1.08751	-5.4315e+01
114.10	-1.08725	-5.4121e+01
114.30	-1.08699	-5.4005e+01
114.50	-1.08686	-5.3849e+01
114.70	-1.08660	-5.3771e+01
114.90	-1.08634	-5.3635e+01
115.10	-1.08621	-5.3519e+01
115.30	-1.08595	-5.3383e+01
115.50	-1.08582	-5.3228e+01
115.70	-1.08569	-5.3150e+01
115.90	-1.08543	-5.2956e+01
116.10	-1.08517	-5.2858e+01
116.30	-1.08504	-5.2722e+01
116.50	-1.08491	-5.2625e+01
116.70	-1.08465	-5.2509e+01
116.90	-1.08452	-5.2334e+01
117.10	-1.08426	-5.2256e+01
117.30	-1.08400	-5.2120e+01
117.50	-1.08387	-5.1984e+01
117.70	-1.08361	-5.1868e+01
117.90	-1.08335	-5.1751e+01
118.10	-1.08322	-5.1635e+01
118.30	-1.08296	-5.1499e+01
118.50	-1.08270	-5.1363e+01
118.70	-1.08257	-5.1265e+01
118.90	-1.08245	-5.1130e+01
119.10	-1.08206	-5.0974e+01
119.30	-1.08206	-5.0877e+01
119.50	-1.08180	-5.0760e+01
119.70	-1.08154	-5.0605e+01
119.90	-1.08141	-5.0508e+01
120.10	-1.08128	-5.0391e+01
120.30	-1.08102	-5.0314e+01
120.50	-1.08076	-5.0100e+01
120.70	-1.08063	-5.0022e+01
120.90	-1.08037	-4.9906e+01
121.10	-1.08011	-4.9789e+01
121.30	-1.07998	-4.9673e+01
121.50	-1.07972	-4.9498e+01
121.70	-1.07959	-4.9420e+01
121.90	-1.07946	-4.9245e+01
122.10	-1.07933	-4.9187e+01
122.30	-1.07920	-4.9051e+01
122.50	-1.07881	-4.8915e+01
122.70	-1.07855	-4.8837e+01
122.90	-1.07855	-4.8701e+01
123.10	-1.07829	-4.8604e+01
123.30	-1.07803	-4.8468e+01
123.50	-1.07777	-4.8332e+01
123.70	-1.07764	-4.8216e+01
123.90	-1.07751	-4.8138e+01
124.10	-1.07725	-4.8041e+01
124.30	-1.07699	-4.7885e+01
124.50	-1.07686	-4.7788e+01
124.70	-1.07660	-4.7652e+01
124.90	-1.07634	-4.7536e+01
125.10	-1.07608	-4.7419e+01
125.30	-1.07595	-4.7303e+01
125.50	-1.07582	-4.7205e+01
125.70	-1.07556	-4.7050e+01
125.90	-1.07543	-4.6914e+01
126.10	-1.07517	-4.6778e+01
126.30	-1.07504	-4.6681e+01
126.50	-1.07478	-4.6545e+01
126.90	-1.07426	-4.4821e+01
127.10	-1.07400	-4.4659e+01
127.30	-1.07387	-4.4597e+01
127.50	-1.07361	-4.4433e+01
127.70	-1.07361	-4.4334e+01
127.90	-1.07335	-4.4187e+01
128.10	-1.07309	-4.4100e+01
128.30	-1.07283	-4.3989e+01
128.50	-1.07270	-4.3816e+01
128.70	-1.07257	-4.3739e+01
128.90	-1.07231	-4.3611e+01
129.10	-1.07205	-4.3490e+01
129.30	-1.07192	-4.3342e+01
129.50	-1.07179	-4.3263e+01
129.70	-1.07140	-4.3099e+01
129.90	-1.07114	-4.2978e+01
130.10	-1.07101	-4.2899e+01
130.30	-1.07075	-4.2766e+01
130.50	-1.07062	-4.2624e+01
130.70	-1.07023	-4.2483e+01
130.90	-1.07023	-4.2399e+01
131.10	-1.06997	-4.2288e+01
131.30	-1.06972	-4.2135e+01
131.50	-1.06959	-4.2069e+01
131.70	-1.06933	-4.1909e+01
131.90	-1.06920	-4.1798e+01
132.10	-1.06894	-4.1659e+01
132.30	-1.06881	-4.1555e+01
132.50	-1.06842	-4.1439e+01
132.70	-1.06816	-4.1311e+01
132.90	-1.06803	-4.1237e+01
133.10	-1.06790	-4.1051e+01
133.30	-1.06764	-4.0978e+01
133.50	-1.06751	-4.0823e+01
133.70	-1.06712	-4.0722e+01
133.90	-1.06699	-4.0586e+01
134.10	-1.06686	-4.0467e+01
134.30	-1.06673	-4.0377e+01
134.50	-1.06634	-4.0210e+01
134.70	-1.06621	-4.0123e+01
134.90	-1.06608	-3.9993e+01
135.10	-1.06608	-3.9905e+01
135.30	-1.06569	-3.9752e+01
135.50	-1.06543	-3.9643e+01
135.70	-1.06517	-3.9523e+01
135.90	-1.06517	-3.9355e+01
136.10	-1.06504	-3.9272e+01
136.30	-1.06452	-3.9146e+01
136.50	-1.06439	-3.9054e+01
136.70	-1.06426	-3.8896e+01
136.90	-1.06400	-3.8794e+01
137.10	-1.06374	-3.8679e+01
137.30	-1.06361	-3.8591e+01
137.50	-1.06335	-3.8489e+01
137.70	-1.06322	-3.8327e+01
137.90	-1.06309	-3.8228e+01
138.10	-1.06283	-3.8068e+01
138.30	-1.06257	-3.7990e+01
138.50	-1.06231	-3.7857e+01
138.70	-1.06218	-3.7736e+01
138.90	-1.06205	-3.7640e+01
139.10	-1.06179	-3.7505e+01
139.30	-1.06153	-3.7377e+01
139.50	-1.06140	-3.7241e+01
139.70	-1.06114	-3.7134e+01
139.90	-1.06101	-3.7004e+01
140.10	-1.06062	-3.6888e+01
140.30	-1.06049	-3.6801e+01
140.50	-1.06049	-3.6639e+01
140.70	-1.06010	-3.6541e+01
140.90	-1.05984	-3.6381e+01
141.10	-1.05971	-3.6300e+01
141.30	-1.05945	-3.6165e+01
141.50	-1.05945	-3.6061e+01
141.70	-1.05919	-3.5980e+01
141.90	-1.05906	-3.5801e+01
142.10	-1.05880	-3.5726e+01
142.30	-1.05867	-3.5591e+01
142.50	-1.05841	-3.5512e+01
142.70	-1.05815	-3.5354e+01
142.90	-1.05802	-3.5254e+01
143.10	-1.05776	-3.5122e+01
143.30	-1.05750	-3.5005e+01
143.50	-1.05750	-3.4915e+01
143.70	-1.05724	-3.4791e+01
143.90	-1.05711	-3.4689e+01
144.10	-1.05686	-3.4520e+01
144.30	-1.05673	-3.4437e+01
144.50	-1.05660	-3.4335e+01
144.70	-1.05634	-3.4173e+01
144.90	-1.05608	-3.4092e+01
145.10	-1.05608	-3.3978e+01
145.30	-1.05582	-3.3852e+01
145.50	-1.05556	-3.3710e+01
145.70	-1.05543	-3.3611e+01
145.90	-1.05517	-3.3479e+01
146.10	-1.05504	-3.3366e+01
146.30	-1.05478	-3.3293e+01
146.50	-1.05465	-3.3125e+01
146.70	-1.05452	-3.3025e+01
146.90	-1.05426	-3.2909e+01
147.10	-1.05413	-3.2760e+01
147.30	-1.05400	-3.2671e+01
147.50	-1.05374	-3.2504e+01
